sample_id,date_index,cloud_like_fraction
30003,0,0.0
30003,1,0.0
30003,2,0.0
30003,3,0.0291748046875
30003,4,0.0
30003,5,0.0
30003,6,0.00921630859375
30003,7,0.0
30003,8,0.0
30003,9,0.0
30003,10,0.0
30003,11,0.0
30003,12,0.0
30003,13,0.0
30003,14,0.0
30003,15,0.0
30003,16,0.0
30003,17,0.030029296875
30003,18,0.0
30003,19,0.0
30003,20,0.030029296875
30003,21,0.0
30003,22,0.0
30003,23,0.0
30003,24,0.0
30003,25,0.0
30003,26,0.0
30003,27,0.0
30003,28,0.0
30003,29,0.0
30003,30,0.0
30003,31,0.0
30003,32,0.0
30003,33,0.0
30003,34,0.0
30003,35,0.0
30003,36,0.030029296875
30003,37,0.0
30003,38,0.0
30003,39,0.0
30003,40,0.0
30003,41,0.0
30003,42,0.0
30003,43,0.0
30003,44,0.0
30003,45,0.030029296875
30013,0,0.0
30013,1,0.0
30013,2,0.0
30013,3,0.0281982421875
30013,4,0.0
30013,5,0.0
30013,6,0.0
30013,7,0.0
30013,8,0.0
30013,9,0.0
30013,10,0.0
30013,11,0.0
30013,12,0.01788330078125
30013,13,0.0
30013,14,0.0
30013,15,0.0
30013,16,0.0
30013,17,0.0
30013,18,0.0
30013,19,0.0
30013,20,0.0
30013,21,0.0
30013,22,0.02264404296875
30013,23,0.0
30013,24,0.0
30013,25,0.0
30013,26,0.0
30013,27,0.0
30013,28,0.0
30013,29,0.0
30013,30,0.0
30013,31,0.0
30013,32,0.0299072265625
30013,33,0.0
30013,34,0.0
30013,35,0.0
30013,36,0.03009033203125
30013,37,0.0
30013,38,0.0
30013,39,0.0
30013,40,0.030029296875
30013,41,0.0
30013,42,0.0
30013,43,0.0
30013,44,0.0164794921875
30013,45,0.0
30014,0,0.0
30014,1,0.0
30014,2,0.0
30014,3,0.02685546875
30014,4,0.0
30014,5,0.0
30014,6,0.00360107421875
30014,7,0.0
30014,8,0.0
30014,9,0.0
30014,10,0.0
